Time BB PB PL PS MA SG ZS ZM ZL ZG AUR SQX BMD BD BG BMS DUN BML PWN BFF BIV GEC BC HEP HEC FPS POP CHY CHS CSY CSS CSN CDS CNY CNS CHC CYE CKS CRH CRW CRC COH COS COD COY COR CDR CMS CMF CMH PIS SAL SAF FMM FVS ROC MRO DVR MVR SMD FDF HAP DOG SBL SSK RAT SB SP BE HSL CSL PIN PHR ROR TOR HUW DL DR DC DIN RelBB RelPB RelPL RelPS RelMA RelSG RelZS RelZM RelZL RelZG RelAUR RelSQX RelBMD RelBD RelBG RelBMS RelDUN RelBML RelPWN RelBFF RelBIV RelGEC RelBC RelHEP RelHEC RelFPS RelPOP RelCHY RelCHS RelCSY RelCSS RelCSN RelCDS RelCNY RelCNS RelCHC RelCYE RelCKS RelCRH RelCRW RelCRC RelCOH RelCOS RelCOD RelCOY RelCOR RelCDR RelCMS RelCMF RelCMH RelPIS RelSAL RelSAF RelFMM RelFVS RelROC RelMRO RelDVR RelMVR RelSMD RelFDF RelHAP RelDOG RelSBL RelSSK RelRAT RelSB RelSP RelBE RelHSL RelCSL RelPIN RelPHR RelROR RelTOR RelHUW RelDL RelDR RelDC RelDIN MigHEP MigHEC MigCHY MigCHS MigCSY MigCSS MigCSN MigCDS MigCNY MigCNS MigCHC MigCYE MigCKS MigCOH MigCOS MigCOD MigCOY MigCMS MigCMF MigCMH MigPIS MigSAL MigSAF MigDOG MigBE MigCSL MigPIN MigROR MigTOR MigHUW PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+00 4203673.546511 706756.650661 147529.819788 7764.727358 68939.953325 12321.350519 1938.294015 10174.037670 3498.515537 142197.731833 142197.731833 3885.554883 69339.773589 235904.416547 950.930627 328.893585 21915.305602 9703.951738 2659.177476 11969.167877 397270.970594 206257.591068 154708.989274 12844.087590 1477.782916 7021.646638 1058.334343 56.346629 4046.635836 29.904363 416.560522 35.685509 17.050489 0.076844 10.831882 47.364719 4.321938 147.983794 6.543889 431.208749 1388.199902 669.551584 454.973573 4.913873 1879.242640 226.766353 0.639007 41177.879870 73834.741617 551.198685 18428.864456 878.045259 16546.386859 20672.256915 1433.674498 2374.712712 6318.839138 218.278614 208.428822 4329.988941 27590.346559 9481.364681 7918.619923 6.746502 3191.748172 62407.766424 55.210770 44.461083 10.656000 510.351985 408.549000 23.139005 542.850429 447.542152 193.722121 506.080422 0.000000 2626.461044 110853.973859 45939.182293 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 2.701666 2.704030 2.294893 2.502916 2.496620 2.647891 2.391032 2.791752 2.060066 3.352162 2.703317 1.000000 1.000000 1.000000 1.078578 1.177846 1.393424 1.212955 1.000000 1.000000 1.478458 1.389021 1.478451 1.000000 1.465654 2.704051 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.005720 1.004848 1.167063 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 50.346241 3645.406774 23.985566 358.292542 30.680931 15.518922 0.065316 9.961500 41.577443 4.023471 133.312332 142.486312 117.394656 2.372533 563.802470 38938.765533 70360.155857 521.223017 5779.594321 720.499720 14905.792123 0.000000 0.000000 0.000000 0.000000 447.542152 193.722121 506.080422 0.000000 0.000000 0.000000 0.000000 -308.390507 3.417467
1.000000e+00 4202669.471519 727966.384624 40773.837651 38213.105960 68931.938087 12321.005870 1884.778294 10183.434409 3494.442544 142264.518205 142264.518205 3890.295839 69322.151699 236513.425067 953.533850 332.243575 21937.088590 9678.631119 2659.144538 11984.385382 397270.286184 206304.381452 154678.645679 12851.453557 1477.806227 7033.601417 1059.287055 56.487899 4056.688445 29.975095 417.305057 35.764300 17.107763 0.077157 10.866264 47.465259 4.329912 148.304248 6.599853 437.576062 1395.822909 702.468540 482.089931 5.076684 1964.176680 235.839665 0.666830 41236.868993 73937.906596 552.215362 19048.759076 879.381661 16581.953212 20682.797292 1433.709129 2376.816371 6322.582882 218.283079 208.542279 4373.996451 27648.879243 9481.616493 7920.326405 6.747612 3191.803432 62455.629173 55.226717 44.506819 10.656679 510.372013 408.783910 23.140911 542.898957 447.542152 193.722121 506.080422 0.000000 0.000000 90139.742365 31392960.895842 0.999761 1.030010 0.276377 4.921371 0.999884 0.999972 0.972390 1.000924 0.998836 1.000470 1.000470 1.001220 0.999746 1.002582 1.002738 1.010186 1.000994 0.997391 0.999988 1.001271 0.999998 1.000227 0.999804 1.000573 1.000016 1.001703 1.000900 2.708440 2.710747 2.300321 2.507390 2.502132 2.656785 2.400779 2.800614 2.064438 3.358347 2.709171 1.008552 1.014766 1.005491 1.131604 1.248046 1.439592 1.267775 1.040012 1.043542 1.480576 1.390962 1.481178 1.033637 1.467884 2.709864 1.000510 1.000024 1.000886 1.000592 1.000020 1.000544 1.010163 1.002121 1.000027 1.000216 1.000165 1.000017 1.000767 1.000289 1.001029 1.000064 1.000039 1.000575 1.000082 1.000089 1.005720 1.004848 1.167063 1.000000 0.000000 0.813139 683.359157 0.000000 0.000000 50.435412 3649.680439 24.019922 358.676923 30.713827 15.537878 0.065426 9.974131 41.622032 4.029181 133.468619 142.731520 117.554082 2.376108 564.592011 38985.868033 70446.557455 521.912806 5785.104659 721.392581 14923.260599 237.609792 0.000000 0.000000 0.000000 447.542152 193.722121 506.080422 0.506981 0.124924 64.689655 0.000000 -311.939624 0.000000
2.000000e+00 4198730.554952 727830.156076 39880.395802 37830.715304 71430.038415 12324.302189 1810.647747 10192.245360 3491.149318 142310.316869 142310.316869 3895.052660 69305.351410 239174.130394 955.678790 335.542063 21958.316424 9653.124440 2659.135194 12005.351895 397501.774539 206379.329624 154648.857420 12857.134752 1477.726828 6375.801984 1048.690726 54.497667 3954.577211 28.240841 402.759097 34.549216 16.776242 0.070836 10.900345 46.649345 4.230482 144.552209 6.262867 406.095320 1293.404259 143.006884 506.068951 5.238127 2046.449905 214.653901 0.606400 40838.682184 73334.970249 547.274415 19169.382007 823.582622 16163.623057 20693.242116 1433.742759 2369.606442 6326.275817 218.287448 208.654531 4417.300652 27706.635651 9481.861408 7921.925935 6.748752 3149.947592 62503.096893 55.241951 44.550533 10.657334 510.391423 409.011594 23.142777 542.945469 444.779765 192.617167 499.917284 0.000000 0.000000 73430.316548 31420925.607422 0.998824 1.029817 0.270321 4.872124 1.036120 1.000240 0.934145 1.001790 0.997894 1.000792 1.000792 1.002444 0.999504 1.013860 1.004993 1.020215 1.001963 0.994762 0.999984 1.003023 1.000581 1.000590 0.999611 1.001016 0.999962 0.908021 0.990888 2.613013 2.642515 2.167233 2.419990 2.417123 2.605301 2.204083 2.809397 2.028951 3.281228 2.640630 0.957056 0.941760 0.931713 0.230369 1.310123 1.485372 1.320879 0.946586 0.948973 1.466279 1.379619 1.467926 1.040182 1.374743 2.641499 1.001015 1.000048 0.997850 1.001177 1.000040 1.001083 1.020164 1.004215 1.000052 1.000417 1.000334 0.986904 1.001528 1.000565 1.002012 1.000125 1.000077 1.001132 1.000163 1.000175 0.999512 0.999117 1.152850 1.000000 0.000000 0.662406 683.967891 0.000000 0.000000 50.525516 3653.840665 24.054275 359.048028 30.745632 15.556194 0.065537 9.986761 41.662214 4.034947 133.621060 143.006884 117.694547 2.379306 565.295820 39039.739070 70547.902527 522.671124 5788.132735 722.313440 14940.198973 713.015032 0.000000 0.000000 0.000000 444.779765 192.617167 499.917284 0.459106 0.137473 64.293103 0.000000 -315.929065 0.000000
3.000000e+00 4196734.470582 727699.526347 40255.433001 38124.664545 74805.160529 12327.514561 1731.676857 10201.117048 3487.876867 142340.364859 142340.364859 3899.801547 69288.679598 240457.770194 957.834878 338.872892 21979.794253 9627.014340 2659.134000 12025.954324 397555.396477 206436.537186 154619.057507 12861.478553 1477.554496 6393.129497 1052.464793 55.810499 3976.749489 28.495028 404.361530 34.719390 16.905887 0.072223 10.934144 162.688395 4.257175 145.148095 13.205410 414.519913 1303.827550 160.790416 530.020913 5.601528 2135.010309 224.010142 0.644348 40937.048211 73502.870826 549.088153 19933.473407 825.211042 16232.899079 20703.773476 1433.776096 2372.042694 5236.725664 218.291806 171.033840 4460.789246 27764.406732 9482.106888 7923.425968 6.794706 2652.078813 62550.550634 55.257281 44.594587 10.657929 510.564559 409.119966 23.144627 542.992064 444.869585 192.655904 425.635278 0.000000 0.000000 59826.076262 31440288.279836 0.998349 1.029632 0.272863 4.909981 1.085077 1.000500 0.893403 1.002662 0.996959 1.001003 1.001003 1.003667 0.999263 1.019302 1.007261 1.030342 1.002943 0.992072 0.999984 1.004744 1.000716 1.000868 0.999419 1.001354 0.999845 0.910489 0.994454 2.675960 2.657331 2.186739 2.429618 2.429029 2.625434 2.247262 2.818109 7.075916 3.301931 2.651516 2.017976 0.961298 0.939222 0.259017 1.372130 1.588421 1.378040 0.987846 1.008360 1.469811 1.382778 1.472791 1.081644 1.377462 2.652821 1.001525 1.000071 0.998876 0.828748 1.000060 0.820586 1.030208 1.006309 1.000078 1.000607 1.007145 0.830917 1.002288 1.000842 1.003003 1.000181 1.000417 1.001398 1.000243 1.000261 0.999714 0.999318 0.981550 1.000000 0.000000 0.539684 684.389375 0.000000 0.000000 50.616490 3657.885108 24.088600 359.405661 30.776331 15.573859 0.065647 9.999390 41.697982 4.040766 133.769568 143.311644 117.815957 2.382125 565.913317 39100.340561 70664.116618 523.497460 5788.705468 723.261708 14956.598002 1187.091353 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.487108 0.133495 67.379310 0.000000 -325.427027 0.000000
4.000000e+00 4195537.335015 727577.096454 41201.502797 38490.857977 78768.693819 12330.695318 1650.480426 10209.437623 3484.211532 142367.335338 142367.335338 3904.549858 69272.036173 241152.232440 959.998880 342.233220 22001.436404 9600.734472 2659.130778 12046.705168 397545.677111 206489.922363 154589.178322 12865.791495 1477.386207 6410.464039 1056.255184 57.194648 4001.586991 28.762626 406.110384 34.901581 17.049427 0.073942 10.967921 349.907896 4.286153 145.758385 24.377736 423.024652 1314.329437 192.796280 556.952629 6.186030 2231.410439 235.461139 0.694060 41036.042555 73670.543526 550.898720 20705.370897 826.844412 16302.392041 20714.328573 1433.809746 2374.478277 5240.413058 218.296148 171.146246 4504.401525 27822.207170 9482.352175 7924.825324 6.840679 2652.147789 62597.976324 55.272656 44.638783 10.658552 510.744746 409.228615 23.146495 543.038546 444.959408 192.694649 426.226022 0.000000 0.000000 48750.064973 31463141.761831 0.998064 1.029459 0.279276 4.957142 1.142570 1.000758 0.851512 1.003479 0.995911 1.001193 1.001193 1.004889 0.999023 1.022246 1.009536 1.040559 1.003930 0.989363 0.999982 1.006478 1.000691 1.001126 0.999226 1.001690 0.999732 0.912957 0.998035 2.742326 2.673928 2.207275 2.440126 2.441775 2.647726 2.300737 2.826814 15.218779 3.324408 2.662664 3.725267 0.981021 0.946787 0.310575 1.441852 1.754168 1.440261 1.038342 1.086154 1.473365 1.385932 1.477647 1.123529 1.380188 2.664177 1.002035 1.000094 0.999901 0.829332 1.000080 0.821126 1.040280 1.008404 1.000104 1.000784 1.013959 0.830939 1.003048 1.001121 1.003997 1.000239 1.000770 1.001663 1.000324 1.000347 0.999916 0.999519 0.982912 1.000000 0.000000 0.439768 684.886848 0.000000 0.000000 50.707439 3661.927124 24.122915 359.763068 30.807011 15.591513 0.065757 10.012018 41.733715 4.046582 133.917988 143.616118 117.937127 2.384939 566.529622 39160.958846 70780.372162 524.323909 5789.274402 724.209849 14972.986933 1657.854992 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.507468 0.129414 67.706897 0.000000 -328.896627 0.000000
5.000000e+00 4194749.988774 727463.303978 42265.466245 38839.680559 84413.677170 12333.892519 1567.824976 10217.027851 3480.124241 142391.220561 142391.220561 3909.300200 69255.392265 241532.875889 962.170025 345.624123 22023.198296 9574.421508 2659.125541 12068.196802 397503.675457 206543.326027 154559.205553 12870.087494 1477.220039 6427.777469 1060.060960 58.649995 4029.074785 29.042880 408.004607 35.095680 17.206403 0.075976 11.001655 606.736099 4.317407 146.382873 39.686581 431.640455 1324.945319 239.005164 586.867407 6.991312 2335.663726 249.007402 0.755521 41135.693662 73838.055621 552.706444 21486.010335 828.482619 16372.060638 20723.932682 1433.843858 2376.912963 5244.094705 218.300476 171.258628 4548.113116 27880.030297 9482.597199 7926.124539 6.886669 2652.216882 62645.362430 55.288111 44.683132 10.659203 510.931359 409.338060 23.148378 543.084877 445.049232 192.733404 426.816768 0.000000 0.000000 39730.075054 31486129.696956 0.997877 1.029298 0.286488 5.002066 1.224452 1.001018 0.808869 1.004225 0.994743 1.001361 1.001361 1.006111 0.998783 1.023859 1.011819 1.050869 1.004923 0.986652 0.999980 1.008274 1.000586 1.001385 0.999032 1.002024 0.999619 0.915423 1.001631 2.812106 2.692295 2.228782 2.451508 2.455354 2.672104 2.364039 2.835509 26.389181 3.348649 2.674072 6.064678 1.001001 0.954434 0.385012 1.519296 1.982522 1.507551 1.098079 1.182337 1.476943 1.389084 1.482496 1.165889 1.382923 2.675563 1.002500 1.000118 1.000927 0.829914 1.000100 0.821665 1.050375 1.010499 1.000130 1.000948 1.020776 0.830961 1.003807 1.001401 1.004994 1.000301 1.001135 1.001931 1.000405 1.000432 1.000118 0.999720 0.984274 1.000000 0.000000 0.358400 685.387247 0.000000 0.000000 50.798364 3665.966712 24.157219 360.120248 30.837672 15.609156 0.065867 10.024646 41.769415 4.052397 134.066321 143.920307 118.058055 2.387747 567.144735 39221.593824 70896.668955 525.150471 5789.839560 725.157863 14989.365755 2123.234082 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.532585 0.125075 67.879310 0.000000 -332.374236 0.000000
6.000000e+00 4194044.893131 727352.026205 42765.932369 38926.086897 92511.128832 12337.174555 1490.467024 10224.561465 3475.572272 142411.316490 142411.316490 3914.055512 69238.754988 241840.419958 964.347680 349.046054 22045.085310 9548.148262 2659.118243 12090.453788 397455.378073 206597.447853 154529.145197 12874.372847 1477.053291 6445.124727 1063.880530 60.177107 4059.238198 29.336826 410.045679 35.301737 17.376298 0.078318 11.035350 931.191899 4.350947 147.022332 59.014328 440.403050 1335.721923 299.449454 619.811839 8.018132 2447.944601 264.669131 0.828808 41236.236486 74005.709296 554.520342 22276.798783 830.126715 16441.988937 20732.377084 1433.878738 2379.346161 5247.775216 218.304804 171.370964 4591.900643 27937.857527 9482.842807 7927.326821 6.932676 2652.286050 62692.705278 55.303811 44.728068 10.659888 511.125691 409.449409 23.150289 543.131286 445.139058 192.772169 427.407515 0.000000 0.000000 32385.165562 31513205.601732 0.997709 1.029141 0.289880 5.013194 1.341909 1.001284 0.768958 1.004966 0.993442 1.001502 1.001502 1.007335 0.998543 1.025163 1.014109 1.061274 1.005922 0.983944 0.999978 1.010133 1.000464 1.001648 0.998838 1.002358 0.999506 0.917894 1.005240 2.885327 2.712451 2.251340 2.463771 2.469771 2.698488 2.436913 2.844193 40.500955 3.374663 2.685753 9.018235 1.021322 0.962197 0.482382 1.604583 2.273696 1.580023 1.167145 1.297026 1.480553 1.392238 1.487361 1.208799 1.385667 2.686991 1.002908 1.000142 1.001951 0.830497 1.000120 0.822204 1.060488 1.012595 1.000156 1.001100 1.027596 0.830982 1.004566 1.001685 1.006005 1.000365 1.001516 1.002204 1.000488 1.000517 1.000320 0.999921 0.985637 1.000000 0.000000 0.292143 685.976633 0.000000 0.000000 50.889264 3670.003867 24.191512 360.477201 30.868313 15.626788 0.065977 10.037273 41.805080 4.058209 134.214565 144.224207 118.178743 2.390549 567.758658 39282.245393 71013.006790 525.977144 5790.400964 726.105749 15005.734455 2581.092265 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.562368 0.120654 67.948276 0.000000 -335.857969 0.000000
7.000000e+00 4193295.366737 727240.767015 41821.752172 38416.687489 102387.781232 12340.509617 1417.882686 10232.087324 3470.467365 142427.907157 142427.907157 3918.819761 69222.136549 242170.584102 966.531200 352.499377 22067.119815 9521.940051 2659.108922 12113.492296 397408.213083 206652.645775 154499.027235 12878.623372 1476.882249 6462.550589 1067.713377 61.776767 4092.103586 29.644551 412.234996 35.519719 17.558462 0.080953 11.069010 1320.762197 4.386789 147.677350 82.211515 449.342789 1346.696573 374.187470 655.821299 9.267538 2568.388245 282.465782 0.913999 41337.845556 74173.735610 556.348028 23077.304124 831.777915 16512.241257 20740.823502 1433.913260 2381.777434 5251.458445 218.309142 171.483249 4635.738185 27995.672162 9483.089113 7928.435140 6.978701 2652.355285 62740.001324 55.319832 44.773735 10.660612 511.328447 409.563387 23.152233 543.177856 445.228887 192.810943 427.998264 0.000000 0.000000 26405.154811 31545376.108029 0.997531 1.028983 0.283480 4.947590 1.485173 1.001555 0.731511 1.005706 0.991983 1.001619 1.001619 1.008561 0.998303 1.026562 1.016406 1.071773 1.006927 0.981244 0.999974 1.012058 1.000345 1.001915 0.998643 1.002689 0.999391 0.920375 1.008862 2.962026 2.734412 2.274955 2.476926 2.485021 2.726777 2.518895 2.852868 57.444798 3.402462 2.697719 12.563097 1.042054 0.970103 0.602777 1.697805 2.627990 1.657763 1.245625 1.430344 1.484201 1.395399 1.492263 1.252237 1.388423 2.698471 1.003317 1.000167 1.002975 0.831080 1.000140 0.822742 1.070612 1.014691 1.000182 1.001240 1.034418 0.831004 1.005324 1.001975 1.007032 1.000433 1.001913 1.002483 1.000572 1.000603 1.000521 1.000122 0.986999 1.000000 0.000000 0.238198 686.676918 0.000000 0.000000 50.980139 3674.038586 24.225795 360.833926 30.898935 15.644408 0.066088 10.049899 41.840712 4.064020 134.362721 144.527817 118.299190 2.393347 568.371391 39342.913453 71129.385461 526.803928 5790.958639 727.053505 15022.093023 3029.256505 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.596688 0.116232 68.051724 0.000000 -339.345736 0.000000
8.000000e+00 4192489.992770 727129.592695 40653.220893 37985.542807 114071.442148 12343.879955 1350.088401 10239.522672 3464.855420 142440.883991 142440.883991 3923.587951 69205.550194 242531.093777 968.720243 355.984631 22089.316230 9495.803165 2659.097607 12137.442816 397363.777648 206709.245253 154468.892419 12882.821252 1476.707505 6480.004552 1071.559980 63.448475 4127.620912 29.965831 414.565701 35.749206 17.752197 0.083863 11.102631 1772.002762 4.424898 148.347083 109.072878 458.491262 1357.884130 463.151411 694.878092 10.738358 2696.921552 302.382911 1.011023 41440.345734 74341.919009 558.185680 23886.316235 833.435436 16582.704892 20749.265224 1433.948975 2384.206866 5255.141664 218.313479 171.595475 4679.637866 28053.484574 9483.336022 7929.449955 7.024743 2652.424588 62787.248114 55.336212 44.820170 10.661376 511.539930 409.680405 23.154211 543.224588 445.318719 192.849727 428.589014 0.000000 0.000000 21534.652236 31576742.412111 0.997340 1.028826 0.275559 4.892064 1.654649 1.001828 0.696534 1.006436 0.990379 1.001710 1.001710 1.009788 0.998064 1.028091 1.018708 1.082370 1.007940 0.978550 0.999970 1.014059 1.000234 1.002190 0.998448 1.003016 0.999272 0.922861 1.012497 3.042180 2.758146 2.299610 2.490930 2.501076 2.756864 2.609425 2.861534 77.070907 3.432020 2.709954 16.667898 1.063270 0.978162 0.746089 1.798917 3.045069 1.740725 1.333456 1.582179 1.487881 1.398563 1.497192 1.296136 1.391190 2.709987 1.003725 1.000191 1.003998 0.831663 1.000160 0.823281 1.080751 1.016786 1.000208 1.001368 1.041242 0.831026 1.006081 1.002272 1.008076 1.000505 1.002328 1.002769 1.000657 1.000689 1.000723 1.000323 0.988361 1.000000 0.000000 0.194261 687.359697 0.000000 0.000000 51.070990 3678.070867 24.260067 361.190423 30.929537 15.662016 0.066198 10.062525 41.876309 4.069828 134.510789 144.831137 118.419397 2.396139 568.982934 39403.597904 71245.804761 527.630820 5791.512607 728.001131 15038.441446 3465.549058 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.635362 0.111872 68.137931 0.000000 -342.838513 0.000000
9.000000e+00 4191625.403230 727018.517360 40107.825832 37882.511559 127418.681041 12347.246742 1286.667246 10246.870354 3458.794995 142450.492146 142450.492146 3928.358654 69189.000580 242925.066001 970.914506 359.502107 22111.702505 9469.733743 2659.084302 12162.435292 397322.057218 206767.294979 154438.764598 12886.967071 1476.531335 6497.431378 1075.421821 65.191324 4165.721299 30.300220 417.019107 35.989706 17.956828 0.087030 11.136238 2280.896413 4.465220 149.030571 139.358484 467.888167 1369.296922 566.243758 736.968167 12.429072 2833.494832 324.402648 1.119798 41543.662529 74510.168620 560.026627 24703.226451 835.098223 16653.254994 20757.710115 1433.985971 2386.634500 5258.822655 218.317812 171.707634 4723.601424 28111.281833 9483.583236 7930.373680 7.070801 2652.493952 62834.446008 55.352903 44.867198 10.662172 511.759309 409.800493 23.156217 543.271420 445.408554 192.888520 429.179766 0.000000 0.000000 17566.566230 31599281.144871 0.997134 1.028669 0.271863 4.878795 1.848256 1.002102 0.663814 1.007159 0.988646 1.001778 1.001778 1.011016 0.997826 1.029761 1.021015 1.093065 1.008962 0.975864 0.999965 1.016147 1.000129 1.002471 0.998253 1.003338 0.999153 0.925343 1.016146 3.125745 2.783605 2.325272 2.505671 2.517902 2.788642 2.707978 2.870195 99.204561 3.463295 2.722439 21.295972 1.085062 0.986383 0.912160 1.907880 3.524504 1.828876 1.430559 1.752405 1.491591 1.401728 1.502130 1.340464 1.393965 2.721516 1.004134 1.000217 1.005020 0.832245 1.000180 0.823819 1.090904 1.018881 1.000234 1.001484 1.048069 0.831047 1.006837 1.002574 1.009134 1.000579 1.002758 1.003063 1.000744 1.000776 1.000925 1.000524 0.989724 1.000000 0.000000 0.158466 687.850318 0.000000 0.000000 51.161815 3682.100706 24.294328 361.546693 30.960120 15.679614 0.066308 10.075149 41.911873 4.075634 134.658768 145.134165 118.539365 2.398925 569.593290 39464.298644 71362.264486 528.457819 5792.062890 728.948624 15054.779711 3887.823428 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.678142 0.107630 68.189655 0.000000 -346.336443 0.000000
