Code,Index,IsTurnedOn,Name,Long Name,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,VerticallyMigrates,HorizontallyMigrates,NumMigrations,MultiYrMigrations,ExternalReproduction,RecruitType,IsFished,IsImpacted,isTAC,GroupType,IsPredator,IsCover,IsSiliconDep,IsAssessed,IsCatchGrazer,OverWinters,isCultured,isHabDepend,numMoveEntries,isBioEroder,isSupplemented,isExternal
BB,0,1,Sed_Bact,Benthic bacteria,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,SED_BACT,0,0,0,0,0,0,0,0,1,0,0,0
PB,1,1,Pelag_Bact,Pelagic bacteria,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,PL_BACT,0,0,0,0,0,0,0,0,1,0,0,0
PL,2,1,Lrg_Phyto,Large phytoplankton,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,LG_PHY,0,0,1,0,0,0,0,0,1,0,0,0
PS,3,1,Sm_Phyto,Small phytoplankton,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,SM_PHY,0,0,0,0,0,0,0,0,1,0,0,0
MA,4,1,Macroalgae,Macroalgae,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,PHYTOBEN,0,1,0,0,0,0,0,0,1,0,0,0
SG,5,1,Seagrass,Seagrass,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,SEAGRASS,0,1,0,0,0,0,0,0,1,0,0,0
ZS,6,1,Micro_Zoo,Microzooplankton,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,SM_ZOO,1,0,0,0,0,0,0,0,1,0,0,0
ZM,7,1,Meso_Zoo,Mesozooplankton,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,SM_ZOO,1,0,0,0,0,0,0,0,1,0,0,0
ZL,8,1,Lrg_Zoo,Large zooplankton,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,LG_ZOO,1,0,0,0,0,0,0,0,1,0,0,0
ZG,9,1,Gel_Zoo,Gelatinous zooplankton,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,LG_ZOO,1,0,0,0,0,0,0,0,1,0,0,0
AUR,10,1,Aurelia,Moon jelly,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,LG_ZOO,1,0,0,0,0,0,0,0,1,0,0,0
SQX,11,1,Squid,Squid,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,LG_ZOO,1,0,0,0,0,0,0,0,1,0,0,0
BMD,12,1,Macrobenth_Deep,Deep macro-zoobenthos,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0,1,0,0,0
BD,13,1,Deposit_Feeder,Deposit feeders,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,SED_EP_FF,1,0,0,0,0,0,0,0,1,0,0,0
BG,14,1,Benthic_grazer,Benthic grazers,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0,1,0,0,0
BMS,15,1,Octopi,Octopi,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0,1,0,0,0
DUN,16,1,Dungeness,Dungeness crab,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0,1,0,0,0
BML,17,1,Crab,Crabs,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0,1,0,0,0
PWN,18,1,Shrimp,Shrimp,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,PWN,1,0,0,0,0,0,0,0,1,0,0,0
BFF,19,1,Filter_Other,Benthic filter feeder,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,SED_EP_FF,1,1,0,0,0,0,0,0,1,0,0,0
BIV,20,1,Bivalve,Bivalves,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,SED_EP_FF,1,0,0,0,0,0,0,0,1,0,0,0
GEC,21,1,Geoduck,Geoducks,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,SED_EP_FF,1,0,0,0,0,0,0,0,1,0,0,0
BC,22,1,Carn_Infauna,Carnivorous infauna,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0,1,0,0,0
HEP,23,1,Herring_PS,Pacific Herring Puget Sound,7,1,2,1,1,1,1,1,1,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,3,0,0,0
HEC,24,1,Herring_Cherry,Pacific Herring Cherry Point,6,1,2,1,1,1,1,1,1,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,3,0,0,0
FPS,25,1,Sm_Plank_Fish,Small Planktivorous Fish,8,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,1,0,0,0
POP,26,1,Perch_Fish,Perch,8,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,1,0,0,0
CHY,27,1,ChinookY_Fish,Chinook Hatch Yearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
CHS,28,1,ChinookSY_Fish,Chinook Hatch Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
CSY,29,1,ChinookSKY_Fish,Chinook Skagit Yearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
CSS,30,1,ChinookSKSY_Fish,Chinook Skagit Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
CSN,31,1,ChinookSSY_Fish,Chinook Snohomish Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
CDS,32,1,ChinookDSY_Fish,Chinook Duwamish Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
CNY,33,1,ChinookNY_Fish,Chinook Nisqually Yearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
CNS,34,1,ChinookNSY_Fish,Chinook Nisqually Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
CHC,35,1,ChinookHY_Fish,Chinook Hood Canal Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
CYE,36,1,ChinookOY_Fish,Chinook other Yearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
CKS,37,1,ChinookOSY_Fish,Chinook other Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1
CRH,38,1,ChinookResH_Fish,Chinook resident Hood canal,5,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,1,0,2,0
CRW,39,1,ChinookResN_Fish,Chinook resident North Puget Sound,5,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,1,0,2,0
