"Time","1","2","3","4","5"
1,2040.569965587,797.160042532,311.4300119361,121.8000033471,68.0999975814
2,2040.569965587,797.160042532,311.4300119361,121.8000033471,68.0999975814
3,2040.569965587,797.160042532,311.4300119361,121.8000033471,68.0999975814
4,2040.569965587,797.160042532,311.4300119361,121.8000033471,68.0999975814
5,2040.569965587,797.160042532,311.4300119361,121.8000033471,68.0999975814
6,2040.569965587,797.160042532,311.4300119361,121.8000033471,68.0999975814
7,2040.569965587,797.160042532,311.4300119361,121.8000033471,68.0999975814
8,2040.569965587,797.160042532,311.4300119361,121.8000033471,68.0999975814
9,2040.569965587,797.160042532,311.4300119361,121.8000033471,68.0999975814
10,2040.569965587,797.160042532,311.4300119361,121.8000033471,68.0999975814
