"Time","1","2","3","4","5"
1,142066.74,55495.6463,21678.4114,8568.5361,4170.8399
2,142066.74,55495.6463,21678.4114,8568.5361,4170.8399
3,142066.74,55495.6463,21678.4114,8568.5361,4170.8399
4,142066.74,55495.6463,21678.4114,8568.5361,4170.8399
5,142066.74,55495.6463,21678.4114,8568.5361,4170.8399
6,142066.74,55495.6463,21678.4114,8568.5361,4170.8399
7,142066.74,55495.6463,21678.4114,8568.5361,4170.8399
8,142066.74,55495.6463,21678.4114,8568.5361,4170.8399
9,142066.74,55495.6463,21678.4114,8568.5361,4170.8399
10,142066.74,55495.6463,21678.4114,8568.5361,4170.8399
