"Time","1","2","3","4","5"
1,493428.957,192747.322,75292.759,29411.6517,14541.6499
2,493428.957,192747.322,75292.759,29411.6517,14541.6499
3,493428.957,192747.322,75292.759,29411.6517,14541.6499
4,493428.957,192747.322,75292.759,29411.6517,14541.6499
5,493428.957,192747.322,75292.759,29411.6517,14541.6499
6,493428.957,192747.322,75292.759,29411.6517,14541.6499
7,493428.957,192747.322,75292.759,29411.6517,14541.6499
8,493428.957,192747.322,75292.759,29411.6517,14541.6499
9,493428.957,192747.322,75292.759,29411.6517,14541.6499
10,493428.957,192747.322,75292.759,29411.6517,14541.6499
