"Time","1","2","3","4","5","6","7","8","9","10"
1,722456,470652,306612,199746,130127,84773,55226,35978,23438,15269
2,722456,470652,306612,199746,130127,84773,55226,35978,23438,15269
3,722456,470652,306612,199746,130127,84773,55226,35978,23438,15269
4,722456,470652,306612,199746,130127,84773,55226,35978,23438,15269
5,722456,470652,306612,199746,130127,84773,55226,35978,23438,15269
6,722456,470652,306612,199746,130127,84773,55226,35978,23438,15269
7,722456,470652,306612,199746,130127,84773,55226,35978,23438,15269
8,722456,470652,306612,199746,130127,84773,55226,35978,23438,15269
9,722456,470652,306612,199746,130127,84773,55226,35978,23438,15269
10,722456,470652,306612,199746,130127,84773,55226,35978,23438,15269
