"Time","1","2","3","4","5","6","7","8","9","10"
1,170657,64282,24214,9121,3436,1295,488,184,70,27
2,170657,64282,24214,9121,3436,1295,488,184,70,27
3,170657,64282,24214,9121,3436,1295,488,184,70,27
4,170657,64282,24214,9121,3436,1295,488,184,70,27
5,170657,64282,24214,9121,3436,1295,488,184,70,27
6,170657,64282,24214,9121,3436,1295,488,184,70,27
7,170657,64282,24214,9121,3436,1295,488,184,70,27
8,170657,64282,24214,9121,3436,1295,488,184,70,27
9,170657,64282,24214,9121,3436,1295,488,184,70,27
10,170657,64282,24214,9121,3436,1295,488,184,70,27
