"Time","1","2","3","4","5","6","7","8","9","10"
1,15266413,5972011,2336169,913878,357497,139848,54707,21401,8372,3275
2,15266413,5972011,2336169,913878,357497,139848,54707,21401,8372,3275
3,15266413,5972011,2336169,913878,357497,139848,54707,21401,8372,3275
4,15266413,5972011,2336169,913878,357497,139848,54707,21401,8372,3275
5,15266413,5972011,2336169,913878,357497,139848,54707,21401,8372,3275
6,15266413,5972011,2336169,913878,357497,139848,54707,21401,8372,3275
7,15266413,5972011,2336169,913878,357497,139848,54707,21401,8372,3275
8,15266413,5972011,2336169,913878,357497,139848,54707,21401,8372,3275
9,15266413,5972011,2336169,913878,357497,139848,54707,21401,8372,3275
10,15266413,5972011,2336169,913878,357497,139848,54707,21401,8372,3275
