"Time","1","2","3","4","5","6","7","8","9","10"
1,4105,2590,1634,1031,651,410,259,163,103,65
2,4105,2590,1634,1031,651,410,259,163,103,65
3,4105,2590,1634,1031,651,410,259,163,103,65
4,4105,2590,1634,1031,651,410,259,163,103,65
5,4105,2590,1634,1031,651,410,259,163,103,65
6,4105,2590,1634,1031,651,410,259,163,103,65
7,4105,2590,1634,1031,651,410,259,163,103,65
8,4105,2590,1634,1031,651,410,259,163,103,65
9,4105,2590,1634,1031,651,410,259,163,103,65
10,4105,2590,1634,1031,651,410,259,163,103,65
