"Time","1","2","3","4","5","6"
1,16302943,9265943,5266393,2993208,1701220,966906.000000001
2,16302943,9265943,5266393,2993208,1701220,966906.000000001
3,16302943,9265943,5266393,2993208,1701220,966906.000000001
4,16302943,9265943,5266393,2993208,1701220,966906.000000001
5,16302943,9265943,5266393,2993208,1701220,966906.000000001
6,16302943,9265943,5266393,2993208,1701220,966906.000000001
7,16302943,9265943,5266393,2993208,1701220,966906.000000001
8,16302943,9265943,5266393,2993208,1701220,966906.000000001
9,16302943,9265943,5266393,2993208,1701220,966906.000000001
10,16302943,9265943,5266393,2993208,1701220,966906.000000001
