"Time","1","2","3","4","5","6","7"
1,113245854,70538676,43937192,27367636,17046777,10618111,6613818
2,113245854,70538676,43937192,27367636,17046777,10618111,6613818
3,113245854,70538676,43937192,27367636,17046777,10618111,6613818
4,113245854,70538676,43937192,27367636,17046777,10618111,6613818
5,113245854,70538676,43937192,27367636,17046777,10618111,6613818
6,113245854,70538676,43937192,27367636,17046777,10618111,6613818
7,113245854,70538676,43937192,27367636,17046777,10618111,6613818
8,113245854,70538676,43937192,27367636,17046777,10618111,6613818
9,113245854,70538676,43937192,27367636,17046777,10618111,6613818
10,113245854,70538676,43937192,27367636,17046777,10618111,6613818
