"Time","1","2","3","4","5","6","7","8","9","10"
1,115810,66384.0000000001,38052,21812,12503,7167,4109,2355,1350,774.000000000001
2,115810,66384.0000000001,38052,21812,12503,7167,4109,2355,1350,774.000000000001
3,115810,66384.0000000001,38052,21812,12503,7167,4109,2355,1350,774.000000000001
4,115810,66384.0000000001,38052,21812,12503,7167,4109,2355,1350,774.000000000001
5,115810,66384.0000000001,38052,21812,12503,7167,4109,2355,1350,774.000000000001
6,115810,66384.0000000001,38052,21812,12503,7167,4109,2355,1350,774.000000000001
7,115810,66384.0000000001,38052,21812,12503,7167,4109,2355,1350,774.000000000001
8,115810,66384.0000000001,38052,21812,12503,7167,4109,2355,1350,774.000000000001
9,115810,66384.0000000001,38052,21812,12503,7167,4109,2355,1350,774.000000000001
10,115810,66384.0000000001,38052,21812,12503,7167,4109,2355,1350,774.000000000001
