"Time","1","2","3","4","5","6","7","8","9","10"
1,630365,491912,383868,299556,233761,182418,142352,111086,86687,67647
2,630365,491912,383868,299556,233761,182418,142352,111086,86687,67647
3,630365,491912,383868,299556,233761,182418,142352,111086,86687,67647
4,630365,491912,383868,299556,233761,182418,142352,111086,86687,67647
5,630365,491912,383868,299556,233761,182418,142352,111086,86687,67647
6,630365,491912,383868,299556,233761,182418,142352,111086,86687,67647
7,630365,491912,383868,299556,233761,182418,142352,111086,86687,67647
8,630365,491912,383868,299556,233761,182418,142352,111086,86687,67647
9,630365,491912,383868,299556,233761,182418,142352,111086,86687,67647
10,630365,491912,383868,299556,233761,182418,142352,111086,86687,67647
