"Time","1","2","3","4","5","6","7","8","9","10"
1,135275,104984,81476,63232,49073,38085,29557,22939,17802,13816
2,135275,104984,81476,63232,49073,38085,29557,22939,17802,13816
3,135275,104984,81476,63232,49073,38085,29557,22939,17802,13816
4,135275,104984,81476,63232,49073,38085,29557,22939,17802,13816
5,135275,104984,81476,63232,49073,38085,29557,22939,17802,13816
6,135275,104984,81476,63232,49073,38085,29557,22939,17802,13816
7,135275,104984,81476,63232,49073,38085,29557,22939,17802,13816
8,135275,104984,81476,63232,49073,38085,29557,22939,17802,13816
9,135275,104984,81476,63232,49073,38085,29557,22939,17802,13816
10,135275,104984,81476,63232,49073,38085,29557,22939,17802,13816
