"Time","1","2","3","4","5","6","7","8"
1,145178,NA,NA,16743,8149.99999999998,3967,1931,939.999999999998
2,145178,NA,NA,16743,8149.99999999998,3967,1931,939.999999999998
3,145178,NA,NA,16743,8149.99999999998,3967,1931,939.999999999998
4,145178,NA,NA,16743,8149.99999999998,3967,1931,939.999999999998
5,145178,NA,NA,16743,8149.99999999998,3967,1931,939.999999999998
6,145178,NA,NA,16743,8149.99999999998,3967,1931,939.999999999998
7,145178,NA,NA,16743,8149.99999999998,3967,1931,939.999999999998
8,145178,NA,NA,16743,8149.99999999998,3967,1931,939.999999999998
9,145178,NA,NA,16743,8149.99999999998,3967,1931,939.999999999998
10,145178,NA,NA,16743,8149.99999999998,3967,1931,939.999999999998
