"Time","1","2","3","4","5","6","7","8"
1,55268102,22019885,8773150,3495393,1392633,554852,221064,88076
2,55268102,22019885,8773150,3495393,1392633,554852,221064,88076
3,55268102,22019885,8773150,3495393,1392633,554852,221064,88076
4,55268102,22019885,8773150,3495393,1392633,554852,221064,88076
5,55268102,22019885,8773150,3495393,1392633,554852,221064,88076
6,55268102,22019885,8773150,3495393,1392633,554852,221064,88076
7,55268102,22019885,8773150,3495393,1392633,554852,221064,88076
8,55268102,22019885,8773150,3495393,1392633,554852,221064,88076
9,55268102,22019885,8773150,3495393,1392633,554852,221064,88076
10,55268102,22019885,8773150,3495393,1392633,554852,221064,88076
