"Time","1","2","3","4","5","6","7","8","9","10"
1,8423841.99999999,5078755,3061993,1846083,1113008,671035,404569,243916,147058,88662
2,8423841.99999999,5078755,3061993,1846083,1113008,671035,404569,243916,147058,88662
3,8423841.99999999,5078755,3061993,1846083,1113008,671035,404569,243916,147058,88662
4,8423841.99999999,5078755,3061993,1846083,1113008,671035,404569,243916,147058,88662
5,8423841.99999999,5078755,3061993,1846083,1113008,671035,404569,243916,147058,88662
6,8423841.99999999,5078755,3061993,1846083,1113008,671035,404569,243916,147058,88662
7,8423841.99999999,5078755,3061993,1846083,1113008,671035,404569,243916,147058,88662
8,8423841.99999999,5078755,3061993,1846083,1113008,671035,404569,243916,147058,88662
9,8423841.99999999,5078755,3061993,1846083,1113008,671035,404569,243916,147058,88662
10,8423841.99999999,5078755,3061993,1846083,1113008,671035,404569,243916,147058,88662
