"Time","1","2","3","4","5","6","7","8","9","10"
1,19873,10991,6079,3362,1859,1028,569,315,174,96
2,19873,10991,6079,3362,1859,1028,569,315,174,96
3,19873,10991,6079,3362,1859,1028,569,315,174,96
4,19873,10991,6079,3362,1859,1028,569,315,174,96
5,19873,10991,6079,3362,1859,1028,569,315,174,96
6,19873,10991,6079,3362,1859,1028,569,315,174,96
7,19873,10991,6079,3362,1859,1028,569,315,174,96
8,19873,10991,6079,3362,1859,1028,569,315,174,96
9,19873,10991,6079,3362,1859,1028,569,315,174,96
10,19873,10991,6079,3362,1859,1028,569,315,174,96
