"Time","1","2","3","4","5","6","7","8","9","10"
1,6069,3829,2416,1524,962,607,383,242,152,96
2,6069,3829,2416,1524,962,607,383,242,152,96
3,6069,3829,2416,1524,962,607,383,242,152,96
4,6069,3829,2416,1524,962,607,383,242,152,96
5,6069,3829,2416,1524,962,607,383,242,152,96
6,6069,3829,2416,1524,962,607,383,242,152,96
7,6069,3829,2416,1524,962,607,383,242,152,96
8,6069,3829,2416,1524,962,607,383,242,152,96
9,6069,3829,2416,1524,962,607,383,242,152,96
10,6069,3829,2416,1524,962,607,383,242,152,96
