"Time","1","2","3","4","5","6","7","8","9","10"
1,56482049,41801109,30936072,22895099,16944154,12539992,9280569.00000001,6868343,5083108,3761895
2,56482049,41801109,30936072,22895099,16944154,12539992,9280569.00000001,6868343,5083108,3761895
3,56482049,41801109,30936072,22895099,16944154,12539992,9280569.00000001,6868343,5083108,3761895
4,56482049,41801109,30936072,22895099,16944154,12539992,9280569.00000001,6868343,5083108,3761895
5,56482049,41801109,30936072,22895099,16944154,12539992,9280569.00000001,6868343,5083108,3761895
6,56482049,41801109,30936072,22895099,16944154,12539992,9280569.00000001,6868343,5083108,3761895
7,56482049,41801109,30936072,22895099,16944154,12539992,9280569.00000001,6868343,5083108,3761895
8,56482049,41801109,30936072,22895099,16944154,12539992,9280569.00000001,6868343,5083108,3761895
9,56482049,41801109,30936072,22895099,16944154,12539992,9280569.00000001,6868343,5083108,3761895
10,56482049,41801109,30936072,22895099,16944154,12539992,9280569.00000001,6868343,5083108,3761895
