"Time","1","2","3","4","5","6","7","8","9","10"
1,13,8,5,3,2,0.999999999999999,0.999999999999999,NA,NA,NA
2,13,8,5,3,2,0.999999999999999,0.999999999999999,NA,NA,NA
3,13,8,5,3,2,0.999999999999999,0.999999999999999,NA,NA,NA
4,13,8,5,3,2,0.999999999999999,0.999999999999999,NA,NA,NA
5,13,8,5,3,2,0.999999999999999,0.999999999999999,NA,NA,NA
6,13,8,5,3,2,0.999999999999999,0.999999999999999,NA,NA,NA
7,13,8,5,3,2,0.999999999999999,0.999999999999999,NA,NA,NA
8,13,8,5,3,2,0.999999999999999,0.999999999999999,NA,NA,NA
9,13,8,5,3,2,0.999999999999999,0.999999999999999,NA,NA,NA
10,13,8,5,3,2,0.999999999999999,0.999999999999999,NA,NA,NA
