"Time","1","2","3","4","5","6","7","8","9","10"
1,876755,521249,309893,184238,109533,65120.0000000001,38715,23017,13684,8135
2,876755,521249,309893,184238,109533,65120.0000000001,38715,23017,13684,8135
3,876755,521249,309893,184238,109533,65120.0000000001,38715,23017,13684,8135
4,876755,521249,309893,184238,109533,65120.0000000001,38715,23017,13684,8135
5,876755,521249,309893,184238,109533,65120.0000000001,38715,23017,13684,8135
6,876755,521249,309893,184238,109533,65120.0000000001,38715,23017,13684,8135
7,876755,521249,309893,184238,109533,65120.0000000001,38715,23017,13684,8135
8,876755,521249,309893,184238,109533,65120.0000000001,38715,23017,13684,8135
9,876755,521249,309893,184238,109533,65120.0000000001,38715,23017,13684,8135
10,876755,521249,309893,184238,109533,65120.0000000001,38715,23017,13684,8135
