"Time","1","2","3","4","5","6","7","8","9","10"
1,81606042,28129028,9695878,3342101,1151999,397086,136873,47179,16262,5605
2,81606042,28129028,9695878,3342101,1151999,397086,136873,47179,16262,5605
3,81606042,28129028,9695878,3342101,1151999,397086,136873,47179,16262,5605
4,81606042,28129028,9695878,3342101,1151999,397086,136873,47179,16262,5605
5,81606042,28129028,9695878,3342101,1151999,397086,136873,47179,16262,5605
6,81606042,28129028,9695878,3342101,1151999,397086,136873,47179,16262,5605
7,81606042,28129028,9695878,3342101,1151999,397086,136873,47179,16262,5605
8,81606042,28129028,9695878,3342101,1151999,397086,136873,47179,16262,5605
9,81606042,28129028,9695878,3342101,1151999,397086,136873,47179,16262,5605
10,81606042,28129028,9695878,3342101,1151999,397086,136873,47179,16262,5605
