"Time","1","2","3","4","5","6","7","8"
1,54719642,38176599,26634909,18582546,12964602,9045096,6310549,4402721
2,54719642,38176599,26634909,18582546,12964602,9045096,6310549,4402721
3,54719642,38176599,26634909,18582546,12964602,9045096,6310549,4402721
4,54719642,38176599,26634909,18582546,12964602,9045096,6310549,4402721
5,54719642,38176599,26634909,18582546,12964602,9045096,6310549,4402721
6,54719642,38176599,26634909,18582546,12964602,9045096,6310549,4402721
7,54719642,38176599,26634909,18582546,12964602,9045096,6310549,4402721
8,54719642,38176599,26634909,18582546,12964602,9045096,6310549,4402721
9,54719642,38176599,26634909,18582546,12964602,9045096,6310549,4402721
10,54719642,38176599,26634909,18582546,12964602,9045096,6310549,4402721
