"Time","1","2","3","4","5","6","7","8","9","10"
1,3412154.7,1701898.2,848864.7,423392.4,211177.8,105330.6,52536.6,26204.4,13069.8,6519.6
2,3412154.7,1701898.2,848864.7,423392.4,211177.8,105330.6,52536.6,26204.4,13069.8,6519.6
3,3412154.7,1701898.2,848864.7,423392.4,211177.8,105330.6,52536.6,26204.4,13069.8,6519.6
4,3412154.7,1701898.2,848864.7,423392.4,211177.8,105330.6,52536.6,26204.4,13069.8,6519.6
5,3412154.7,1701898.2,848864.7,423392.4,211177.8,105330.6,52536.6,26204.4,13069.8,6519.6
6,3412154.7,1701898.2,848864.7,423392.4,211177.8,105330.6,52536.6,26204.4,13069.8,6519.6
7,3412154.7,1701898.2,848864.7,423392.4,211177.8,105330.6,52536.6,26204.4,13069.8,6519.6
8,3412154.7,1701898.2,848864.7,423392.4,211177.8,105330.6,52536.6,26204.4,13069.8,6519.6
9,3412154.7,1701898.2,848864.7,423392.4,211177.8,105330.6,52536.6,26204.4,13069.8,6519.6
10,3412154.7,1701898.2,848864.7,423392.4,211177.8,105330.6,52536.6,26204.4,13069.8,6519.6
